City,Date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
kolkata,09-04-2025,94.9,78,85.9,98.5,78,90.5,70.7,62.5,0,0,0,,0,0,23,17.2,189.7,1010.5,29.1,4.9,310.3,26.7,10,30,2025-04-09T05:21:47,2025-04-09T17:54:49,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VECC,remote"
kolkata,10-04-2025,97.2,77.6,86.2,99.6,77.6,88.7,68.1,57.3,0,3.2,0,,0,0,22.1,19.7,194.6,1005.8,52.8,15,294,25.3,10,30,2025-04-10T05:20:53,2025-04-10T17:55:11,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
kolkata,11-04-2025,99.8,73.8,86.8,102.1,73.8,89.5,68.3,57.7,0.169,38.7,12.5,rain,0,0,31.3,19,187.1,1004.3,34,14.9,309.2,26.8,10,60,2025-04-11T05:19:59,2025-04-11T17:55:33,0.44,Partially cloudy,Partly cloudy throughout the day with storms possible.,partly-cloudy-day,
kolkata,12-04-2025,98,77.4,85.8,104.3,77.4,88.7,67.9,57,0.197,38.7,12.5,rain,0,0,31.3,19,187.7,1005.6,54.9,14.8,302.9,26.1,10,60,2025-04-12T05:19:06,2025-04-12T17:55:55,0.47,Partially cloudy,Becoming cloudy in the afternoon with storms possible.,partly-cloudy-day,
kolkata,13-04-2025,101.7,76.6,87.3,106.4,76.6,90.9,66,51,0,32.3,0,,0,0,28,17,189.1,1006.4,67.4,15,300.9,25.8,10,75,2025-04-13T05:18:13,2025-04-13T17:56:17,0.5,Partially cloudy,Partly cloudy throughout the day with strong storms possible.,partly-cloudy-day,
kolkata,14-04-2025,99.1,81.1,88.8,104.3,88,95.8,72.7,62,0,32.3,0,,0,0,19.8,14.3,190.5,1006.9,96,15,293.2,25.3,9,100,2025-04-14T05:17:21,2025-04-14T17:56:39,0.54,Overcast,Cloudy skies throughout the day with strong storms possible.,cloudy,
kolkata,15-04-2025,99.1,81.1,88.4,104,87.2,94.4,71.6,60.2,0,19.4,0,,0,0,21,16.3,191.2,1007.4,81.7,15,291.3,25.2,9,75,2025-04-15T05:16:30,2025-04-15T17:57:02,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
kolkata,16-04-2025,98.3,80.7,88,102.5,85.7,93.2,70.7,59,0,19.4,0,,0,0,21.3,17,192.7,1006.7,47.1,15,295.8,25.7,9,60,2025-04-16T05:15:38,2025-04-16T17:57:25,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
kolkata,17-04-2025,97.1,81.8,86.8,102.9,87,92.9,72,63.1,0.032,25.8,8.33,rain,0,0,23.9,19.7,197.7,1005.4,64.9,14.7,239.6,20.7,8,60,2025-04-17T05:14:48,2025-04-17T17:57:47,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
kolkata,18-04-2025,99.6,77.1,87.6,108.5,77.1,94.4,72.3,62.5,0.406,22.6,4.17,rain,0,0,27.1,18.6,187.2,1003.7,32.3,15,309.9,26.9,9,75,2025-04-18T05:13:58,2025-04-18T17:58:11,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
kolkata,19-04-2025,96.5,80.5,87.4,107,81.8,95.4,72.7,62.5,0.004,22.6,4.17,rain,0,0,28.2,19,193.5,1003.7,16.3,15,301.6,26.3,9,100,2025-04-19T05:13:08,2025-04-19T17:58:34,0.71,Clear,Clear conditions throughout the day.,clear-day,
kolkata,20-04-2025,98.5,79.4,88.3,110.7,79.4,97.6,74.4,64.8,0.24,22.6,8.33,rain,0,0,35.1,18.3,191.5,1004.5,48.8,15,301.9,26.1,9,100,2025-04-20T05:12:20,2025-04-20T17:58:57,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
kolkata,21-04-2025,97.4,79.1,87.6,109.3,79.1,95.3,73.5,64.3,0.008,19.4,4.17,rain,0,0,28.4,18.1,187.3,1005.2,32.1,15,308.8,26.7,9,100,2025-04-21T05:11:31,2025-04-21T17:59:21,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
kolkata,22-04-2025,101.2,82.8,89.8,113.1,90,99.8,75,63.7,0,12.9,0,,0,0,33.5,18.3,191.4,1002.9,40.1,15,311.1,27.2,9,100,2025-04-22T05:10:44,2025-04-22T17:59:45,0.81,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
kolkata,23-04-2025,103.6,83.2,90.9,115.2,93.5,102.5,76.1,65,0,3.2,0,,0,0,35.6,19.7,190.2,1000.5,13.8,15,320.3,27.6,9,100,2025-04-23T05:09:57,2025-04-23T18:00:09,0.85,Clear,Clear conditions throughout the day.,clear-day,
